"hour_stump","datacenter_id","pm_26972_freq","pm_26972_mw","pm_26972_kw","pm_26975_freq","pm_26975_mw","pm_26975_kw","pm_26976_freq","pm_26976_mw","pm_26976_kw","pm_74084_freq","pm_74084_mw","pm_74084_kw","pm_74085_freq","pm_74085_mw","pm_74085_kw","usd","temp_f","rel_humidity"
2021-11-12 02:20:00.000,2,59.99653,113.41035,91000.0,59.996876,27.750917,,59.99652,25.1301,,59.996754,28.598234,,59.996822,31.93065,,36.3,55.725,57.0
2021-11-09 15:55:00.000,2,59.995975,115.185585,92881.39,59.996037,28.200083,,59.99594,25.846666,,59.996082,28.998367,,59.996563,32.14028,,34.96,64.21,79.0
2021-11-25 03:30:00.000,2,60.000004,120.255615,92257.61,60.00043,25.95745,,60.00034,28.76605,,60.0002,32.767,,59.99998,32.767,,47.07,70.51,92.0
2021-11-15 20:05:00.000,2,60.000896,114.56907,89866.664,60.000843,27.629084,,60.00046,27.110483,,60.001022,28.402517,,60.00088,31.430084,,40.16,79.45,54.0
2021-11-20 00:30:00.000,2,60.00974,122.119934,93852.164,60.009453,27.7572,,60.009686,28.82905,,60.009777,32.767,,60.0097,32.767,,30.81,54.995,48.0
2021-11-08 04:50:00.000,2,59.995586,114.510864,92200.0,59.995464,27.717783,,59.996418,25.833166,,59.99614,28.902634,,59.996216,32.056183,,20.21,,
2021-11-08 20:20:00.000,2,59.995,113.7443,91600.0,59.995068,27.537,,59.99502,26.055767,,59.995113,28.2585,,59.995045,31.8941,,35.54,75.735,52.0
2021-11-20 10:35:00.000,2,60.006794,116.87323,92100.0,60.00683,27.4321,,60.006363,28.41915,,60.006523,28.255917,,60.00665,32.767,,30.72,46.81,84.0
2021-11-12 03:25:00.000,2,59.985188,113.57398,91200.0,59.984722,27.799932,,59.98482,25.179783,,59.984962,28.718267,,59.985256,31.875732,,30.51,54.13,56.0
2021-11-01 16:05:00.000,2,59.97838,105.48793,83111.49,59.97785,28.392551,,59.977768,25.906534,,59.97758,21.95369,,59.977318,29.233948,,150.05,69.395,55.0
2021-11-12 00:05:00.000,2,60.022366,112.91773,90500.0,60.022247,27.820084,,60.02218,24.955267,,60.02215,28.551,,60.02239,31.592382,,74.6,62.705,55.0
2021-11-23 10:00:00.000,2,59.982517,118.82943,91033.336,59.983215,25.460583,,59.983112,27.83385,,59.982647,32.767,,59.982674,32.767,,16.463333,39.87,47.0
2021-11-07 14:15:00.000,2,59.999157,115.12576,92800.0,59.9993,28.219784,,59.999252,25.62985,,59.99929,29.137117,,59.999245,32.139465,,13.8,47.895,78.0
2021-11-25 14:20:00.000,2,59.9936,111.21582,83233.336,59.9936,23.447933,,59.994198,25.956617,,59.993683,30.0576,,59.993576,31.754316,,27.47,54.55,71.0
2021-11-18 18:45:00.000,2,60.009277,122.03903,93933.336,60.00913,28.0717,,60.009106,28.433,,60.008823,32.767,,60.00905,32.767,,13.87,59.83,51.0
2021-11-01 21:30:00.000,2,60.000656,105.865234,83581.0,60.00067,26.517834,,60.000927,25.05875,,60.001232,24.875984,,60.001083,29.412916,,81.81,79.61,45.0
2021-11-03 06:00:00.000,2,60.00587,112.22962,89885.34,60.00608,28.195759,,60.006203,25.58969,,60.006367,27.40862,,60.00629,31.037483,,26.61,62.465,77.0
2021-11-10 08:15:00.000,2,59.99722,114.642334,92500.0,59.997677,27.7835,,59.997807,25.571417,,59.998016,29.026617,,59.997295,32.2615,,,,
2021-11-03 20:35:00.000,2,60.01657,110.33387,87915.555,60.01637,27.82705,,60.01613,25.585634,,60.01609,27.919666,,60.016384,29.001717,,63.0,50.88,94.0
2021-11-07 00:25:00.000,2,60.016438,115.17917,93100.0,60.01661,28.300983,,60.01692,25.92395,,60.016678,28.986017,,60.01609,31.968567,,34.65,58.3,66.0
