"Category","Series 1","Active Power","Hashrate","Heat Index","Operational"
Mon Nov 01 2021 08:45:00 GMT-0500 (CDT),,104.51410000000001,1544.1158415865386,54.54,20448
Mon Nov 01 2021 08:50:00 GMT-0500 (CDT),,104.52462711864408,1545.1158301660769,54.5,20452
Mon Nov 01 2021 08:55:00 GMT-0500 (CDT),,104.3759,1542.7816534393314,55.27,20451
Mon Nov 01 2021 09:00:00 GMT-0500 (CDT),,103.90270000000001,1536.9662032874983,55.08,20407
Mon Nov 01 2021 09:05:00 GMT-0500 (CDT),,104.68335,1503.478044233912,55.87,20447
Mon Nov 01 2021 09:10:00 GMT-0500 (CDT),,104.68743333333333,1504.3988348133369,55.87,20444
Mon Nov 01 2021 09:15:00 GMT-0500 (CDT),,104.66848333333334,1513.8429977734195,56.98,20434
Mon Nov 01 2021 09:20:00 GMT-0500 (CDT),,104.64699999999999,1526.571278091058,57.56,20447
Mon Nov 01 2021 09:25:00 GMT-0500 (CDT),,104.65506666666667,1537.1545123925998,58.15,20449
Mon Nov 01 2021 09:30:00 GMT-0500 (CDT),,104.6627627118644,1541.7773279743196,59.76,20464
Mon Nov 01 2021 09:35:00 GMT-0500 (CDT),,104.69966666666667,1544.7373297770284,60.15,20462
Mon Nov 01 2021 09:40:00 GMT-0500 (CDT),,104.68278333333335,1546.6186495676802,61,20461
Mon Nov 01 2021 09:45:00 GMT-0500 (CDT),,104.72615254237287,1544.7215605344618,61.02,20463
Mon Nov 01 2021 09:50:00 GMT-0500 (CDT),,104.82323728813559,1545.017563029268,61.99,20463
Mon Nov 01 2021 09:55:00 GMT-0500 (CDT),,104.78928333333333,1545.9873870233102,62.33,20467
Mon Nov 01 2021 10:00:00 GMT-0500 (CDT),,104.85653333333333,1540.502508612108,62.71,20463
Mon Nov 01 2021 10:05:00 GMT-0500 (CDT),,104.89511666666667,1541.3532211313789,63.12,20457
Mon Nov 01 2021 10:10:00 GMT-0500 (CDT),,104.67485,1543.2936224122498,63.12,20463
Mon Nov 01 2021 10:15:00 GMT-0500 (CDT),,104.25677966101696,1542.8776606764181,64.33,20461
Mon Nov 01 2021 10:20:00 GMT-0500 (CDT),,105.00003333333333,1500.6086900150003,64.85,20460
Mon Nov 01 2021 10:25:00 GMT-0500 (CDT),,104.994,1517.4927738733786,65.41,20459
Mon Nov 01 2021 10:30:00 GMT-0500 (CDT),,105.02142372881356,1530.6869536790014,65.44,20462
Mon Nov 01 2021 10:35:00 GMT-0500 (CDT),,105.10420338983052,1534.5542363341406,65.68,20435
Mon Nov 01 2021 10:40:00 GMT-0500 (CDT),,105.1178,1537.363124935322,66.45,20466
Mon Nov 01 2021 10:45:00 GMT-0500 (CDT),,105.14495000000001,1535.4917646966205,67.1,20459
Mon Nov 01 2021 10:50:00 GMT-0500 (CDT),,105.30941666666668,1535.7212771376721,67.39,20460
Mon Nov 01 2021 10:55:00 GMT-0500 (CDT),,105.34021666666668,1531.7991008846411,67.93,20452
Mon Nov 01 2021 11:00:00 GMT-0500 (CDT),,104.85601666666666,1537.401480976747,68.67,20458
Mon Nov 01 2021 11:05:00 GMT-0500 (CDT),,105.48793103448276,1513.2922289253922,69.03,20448
Mon Nov 01 2021 11:10:00 GMT-0500 (CDT),,105.53265,1517.6641176623973,69.06,20460
Mon Nov 01 2021 11:15:00 GMT-0500 (CDT),,105.28868333333334,1536.1518322576626,70.07,20463
Mon Nov 01 2021 11:20:00 GMT-0500 (CDT),,105.37075,1537.37438894183,70.05,20452
