"hour_stump","hashrate","operational","heat_index"
"2021-11-26 23:35:00",462.8087158203125,36318.000000000000,44.130001068115234
"2021-11-11 01:05:00",460.9333190917969,36193.000000000000,67.38999938964844
"2021-11-09 13:30:00",466.3067932128906,36736.000000000000,75.11000061035156
"2021-11-06 11:10:00",469.7431945800781,37007.000000000000,55.380001068115234
"2021-11-09 15:45:00",462.3900451660156,36466.000000000000,74.0999984741211
"2021-11-25 18:10:00",461.2103271484375,36146.000000000000,53.650001525878906
"2021-11-20 07:55:00",467.5033264160156,36737.000000000000,52.04999923706055
"2021-11-11 07:55:00",462.6853942871094,36295.000000000000,57.83000183105469
"2021-11-22 10:50:00",463.9498291015625,36667.000000000000,57.4900016784668
"2021-11-29 10:30:00",457.8804931640625,35868.000000000000,59.939998626708984
"2021-11-19 23:25:00",467.4150695800781,36609.000000000000,47.529998779296875
"2021-11-21 17:35:00",463.0677795410156,36669.000000000000,67.33000183105469
"2021-11-26 05:40:00",461.4164733886719,36114.000000000000,36.40999984741211
"2021-11-13 01:55:00",456.47015380859375,35789.000000000000,43.790000915527344
"2021-11-18 20:05:00",465.8507995605469,36653.000000000000,50.7599983215332
"2021-11-06 16:50:00",466.9579772949219,36823.000000000000,66.44999694824219
"2021-11-19 04:15:00",465.496337890625,36681.000000000000,39.34000015258789
"2021-11-14 19:15:00",454.18280029296875,35454.000000000000,66.04000091552734
"2021-11-14 00:25:00",455.4883117675781,35580.000000000000,49.16999816894531
"2021-11-13 12:45:00",456.603271484375,35882.000000000000,61.95000076293945
"2021-11-12 17:20:00",1.0118074417114258,36010.000000000000,67.23999786376953
"2021-11-15 19:05:00",448.9666442871094,35058.000000000000,68.5
"2021-11-13 01:10:00",456.712646484375,35817.000000000000,45.70000076293945
"2021-11-14 02:55:00",457.5218200683594,35802.000000000000,45.54999923706055
"2021-11-24 20:25:00",461.2511291503906,36405.000000000000,72.0999984741211
"2021-11-10 21:45:00",461.4245300292969,36155.000000000000,70.79000091552734
"2021-11-16 18:05:00",463.0657043457031,36592.000000000000,73.5999984741211
"2021-11-05 21:15:00",469.7621765136719,36989.000000000000,48.15999984741211
"2021-11-10 23:05:00",461.283447265625,36207.000000000000,69.12000274658203
"2021-11-09 04:40:00",467.7873229980469,36694.000000000000,56.529998779296875
"2021-11-07 09:25:00",468.7807922363281,37000.000000000000,55.79999923706055
"2021-11-21 08:05:00",464.63629150390625,36661.000000000000,67.52999877929688
"2021-11-28 07:50:00",461.6781005859375,36265.000000000000,49.13999938964844
"2021-11-15 05:25:00",455.6738586425781,35588.000000000000,56.79999923706055
"2021-11-30 03:25:00",453.24615478515625,35586.000000000000,45.75
"2021-11-29 07:30:00",457.6352844238281,35708.000000000000,48.4900016784668
"2021-11-26 12:20:00",462.67254638671875,36259.000000000000,48.290000915527344
"2021-11-21 15:40:00",461.46014404296875,36504.000000000000,75.0199966430664
"2021-11-03 01:00:00",470.1637878417969,36986.000000000000,62.2599983215332
"2021-11-03 06:45:00",470.719970703125,37004.000000000000,58.619998931884766
"2021-11-10 07:40:00",465.4180908203125,36532.000000000000,62.08000183105469
"2021-11-25 23:35:00",461.8552551269531,36128.000000000000,43.380001068115234
"2021-11-15 10:55:00",454.21533203125,35593.000000000000,71.66999816894531
"2021-11-06 19:20:00",469.151611328125,37003.000000000000,57.790000915527344
"2021-11-16 03:00:00",450.9764099121094,35311.000000000000,64.94000244140625
"2021-11-07 18:25:00",467.531005859375,36986.000000000000,62.439998626708984
"2021-11-23 21:25:00",462.76776123046875,36696.000000000000,57.11000061035156
"2021-11-10 07:00:00",465.61358642578125,36515.000000000000,61.27000045776367
"2021-11-30 07:05:00",453.58673095703125,35593.000000000000,43.27000045776367
"2021-11-18 14:45:00",465.56396484375,36640.000000000000,61.59000015258789
