"hour_stump","datacenter_id","datacenter_room_id","miner_model","gigahash/second"
2021-11-14 22:45:00.000,5,"2",S9,454491008
2021-11-07 21:40:00.000,5,"2",S9,465750304
2021-11-23 22:45:00.000,5,"2",S9,462921728
2021-11-18 23:40:00.000,5,"2",S9,465496864
2021-11-28 20:10:00.000,5,"2",S9,461147584
2021-11-07 03:25:00.000,5,"2",S9,469240416
2021-11-06 22:15:00.000,5,"2",S9,469277152
2021-11-16 10:05:00.000,5,"2",S9,449803008
2021-11-05 09:25:00.000,5,"2",S9,469763456
2021-11-28 21:35:00.000,5,"2",S9,459405280
2021-11-10 12:20:00.000,5,"2",S9,465865856
2021-11-28 15:40:00.000,5,"2",S9,461759616
2021-11-20 11:30:00.000,5,"2",S9,467621984
2021-11-05 15:10:00.000,5,"2",S9,469996128
2021-11-14 20:40:00.000,5,"2",S9,454604224
2021-11-06 21:15:00.000,5,"2",S9,467472544
2021-11-29 14:05:00.000,5,"2",S9,457899968
2021-11-06 00:10:00.000,5,"2",S9,466916608
2021-11-25 06:25:00.000,5,"2",S9,236856944
2021-11-14 21:55:00.000,5,"2",S9,453403456
2021-11-07 14:15:00.000,5,"2",S9,469218304
2021-11-26 02:55:00.000,5,"2",S9,461771904
2021-11-13 12:05:00.000,5,"2",S9,457482848
2021-11-22 18:05:00.000,5,"2",S9,463888576
2021-11-09 23:10:00.000,5,"2",S9,299511.7
2021-11-12 15:25:00.000,5,"2",S9,462651648
2021-11-12 12:55:00.000,5,"2",S9,462768000
2021-11-09 01:35:00.000,5,"2",S9,466730176
2021-11-03 06:10:00.000,5,"2",S9,469994464
2021-11-20 14:55:00.000,5,"2",S9,467254400
2021-11-27 01:45:00.000,5,"2",S9,462994240
2021-11-11 20:55:00.000,5,"2",S9,462251456
2021-11-30 08:00:00.000,5,"2",S9,453420992
2021-11-05 05:40:00.000,5,"2",S9,470007904
2021-11-27 17:35:00.000,5,"2",S9,462393856
2021-11-19 23:05:00.000,5,"2",S9,0.0
2021-11-14 01:45:00.000,5,"2",S9,456330912
2021-11-26 09:15:00.000,5,"2",S9,461740704
2021-11-03 04:55:00.000,5,"2",S9,470143936
2021-11-30 11:30:00.000,5,"2",S9,453622720
2021-11-14 13:20:00.000,5,"2",S9,457664352
2021-11-05 23:00:00.000,5,"2",S9,466814336
2021-11-11 17:20:00.000,5,"2",S9,462427552
2021-11-25 21:05:00.000,5,"2",S9,461227136
2021-11-18 20:50:00.000,5,"2",S9,465814752
2021-11-05 08:30:00.000,5,"2",S9,469764704
2021-11-10 15:50:00.000,5,"2",S9,465023360
2021-11-21 12:35:00.000,5,"2",S9,464897280
2021-11-27 06:15:00.000,5,"2",S9,461630528
2021-11-26 10:50:00.000,5,"2",S9,461734016
2021-11-28 08:45:00.000,5,"2",S9,461574976
2021-11-15 23:30:00.000,5,"2",S9,434511392
2021-11-09 02:35:00.000,5,"2",S9,466831360
2021-11-20 15:50:00.000,5,"2",S9,466359712
2021-11-06 03:50:00.000,5,"2",S9,469700032
2021-11-29 16:30:00.000,5,"2",S9,457880480
2021-11-13 11:40:00.000,5,"2",S9,457310816
2021-11-19 05:45:00.000,5,"2",S9,465707808
2021-11-28 10:30:00.000,5,"2",S9,461975168
2021-11-10 11:50:00.000,5,"2",S9,466000384
2021-11-05 13:40:00.000,5,"2",S9,470022848
2021-11-08 18:40:00.000,5,"2",S9,466767904
2021-11-25 04:25:00.000,5,"2",S9,461477888
2021-11-21 16:05:00.000,5,"2",S9,464343328
2021-11-19 01:05:00.000,5,"2",S9,465253792
2021-11-15 19:10:00.000,5,"2",S9,453606944
2021-11-21 12:00:00.000,5,"2",S9,464844544
2021-11-21 17:30:00.000,5,"2",S9,463777952
2021-11-14 18:35:00.000,5,"2",S9,455597824
2021-11-14 17:35:00.000,5,"2",S9,455876704
2021-11-27 07:45:00.000,5,"2",S9,462525984
2021-11-05 01:30:00.000,5,"2",S9,470212608
2021-11-09 05:55:00.000,5,"2",S9,466777632
2021-11-15 12:00:00.000,5,"2",S9,455630080
2021-11-07 08:05:00.000,5,"2",S9,468923136
2021-11-23 09:35:00.000,5,"2",S9,463541344
2021-11-20 08:25:00.000,5,"2",S9,467002592
2021-11-13 04:45:00.000,5,"2",S9,456933344
2021-11-30 07:05:00.000,5,"2",S9,453298304
2021-11-25 00:45:00.000,5,"2",S9,460960512
2021-11-11 01:00:00.000,5,"2",S9,458628128
2021-11-07 16:05:00.000,5,"2",S9,468677984
2021-11-10 08:10:00.000,5,"2",S9,465166432
2021-11-16 14:45:00.000,5,"2",S9,449958016
2021-11-08 15:20:00.000,5,"2",S9,467385472
2021-11-14 11:30:00.000,5,"2",S9,457781920
2021-11-14 00:35:00.000,5,"2",S9,455490560
2021-11-17 02:50:00.000,5,"2",S9,466048704
2021-11-07 20:15:00.000,5,"2",S9,467855680
2021-11-11 04:50:00.000,5,"2",S9,461218336
2021-11-14 18:55:00.000,5,"2",S9,455316032
2021-11-16 18:30:00.000,5,"2",S9,466291040
2021-11-19 06:25:00.000,5,"2",S9,463513376
2021-11-16 17:50:00.000,5,"2",S9,462874080
2021-11-22 02:25:00.000,5,"2",S9,463937600
2021-11-26 05:55:00.000,5,"2",S9,461703008
2021-11-19 21:15:00.000,5,"2",S9,0.0
2021-11-13 12:50:00.000,5,"2",S9,457024000
2021-11-28 06:50:00.000,5,"2",S9,459659328
2021-11-12 20:55:00.000,5,"2",S9,456693760
2021-11-13 00:25:00.000,5,"2",S9,451658656
2021-11-04 09:40:00.000,5,"2",S9,468903936
2021-11-27 23:00:00.000,5,"2",S9,460998528
2021-11-18 05:00:00.000,5,"2",S9,463123744
2021-11-16 06:40:00.000,5,"2",S9,449630944
2021-11-21 01:30:00.000,5,"2",S9,464915616
2021-11-29 09:05:00.000,5,"2",S9,459001888
2021-11-28 19:20:00.000,5,"2",S9,461254496
2021-11-11 12:45:00.000,5,"2",S9,462686016
2021-11-09 08:55:00.000,5,"2",S9,467573728
2021-11-11 06:05:00.000,5,"2",S9,460988000
2021-11-27 12:15:00.000,5,"2",S9,462715488
2021-11-16 08:20:00.000,5,"2",S9,451116064
2021-11-26 04:40:00.000,5,"2",S9,461802112
2021-11-24 05:25:00.000,5,"2",S9,462603552
2021-11-19 07:45:00.000,5,"2",S9,465502432
2021-11-15 02:45:00.000,5,"2",S9,454716896
2021-11-18 11:05:00.000,5,"2",S9,464652928
2021-11-08 17:35:00.000,5,"2",S9,467192160
2021-11-29 20:55:00.000,5,"2",S9,456511936
2021-11-12 12:10:00.000,5,"2",S9,462892448
2021-11-22 05:35:00.000,5,"2",S9,463859552
2021-11-21 08:15:00.000,5,"2",S9,464696128
2021-11-28 03:45:00.000,5,"2",S9,461978176
2021-11-25 06:15:00.000,5,"2",S9,236772832
2021-11-04 12:50:00.000,5,"2",S9,469073920
2021-11-14 05:50:00.000,5,"2",S9,457650240
2021-11-26 00:30:00.000,5,"2",S9,461372672
2021-11-17 03:30:00.000,5,"2",S9,465909664
2021-11-20 07:55:00.000,5,"2",S9,467668640
2021-11-12 16:10:00.000,5,"2",S9,462364128
2021-11-29 19:10:00.000,5,"2",S9,456945440
2021-11-24 06:10:00.000,5,"2",S9,463697120
2021-11-09 14:30:00.000,5,"2",S9,467316448
2021-11-05 07:15:00.000,5,"2",S9,469836576
2021-11-04 11:40:00.000,5,"2",S9,469016832
2021-11-08 18:50:00.000,5,"2",S9,465705408
2021-11-28 16:45:00.000,5,"2",S9,461692480
2021-11-08 05:00:00.000,5,"2",S9,467597600
2021-11-06 07:05:00.000,5,"2",S9,469479040
2021-11-30 02:10:00.000,5,"2",S9,453110528
2021-11-26 01:35:00.000,5,"2",S9,462222816
2021-11-14 20:45:00.000,5,"2",S9,454850400
2021-11-30 10:05:00.000,5,"2",S9,453248352
2021-11-19 06:30:00.000,5,"2",S9,463854528
2021-11-18 20:35:00.000,5,"2",S9,465763040
2021-11-17 21:55:00.000,5,"2",S9,455265344
2021-11-13 22:25:00.000,5,"2",S9,455502848
2021-11-17 09:55:00.000,5,"2",S9,468019168
2021-11-08 12:00:00.000,5,"2",S9,467691488
2021-11-25 15:55:00.000,5,"2",S9,461552128
2021-11-13 00:55:00.000,5,"2",S9,451384768
2021-11-06 10:45:00.000,5,"2",S9,469719744
2021-11-27 00:25:00.000,5,"2",S9,462855552
2021-11-11 11:35:00.000,5,"2",S9,462455552
2021-11-09 12:50:00.000,5,"2",S9,467450112
2021-11-23 05:45:00.000,5,"2",S9,463715104
2021-11-24 21:00:00.000,5,"2",S9,460944384
2021-11-21 23:25:00.000,5,"2",S9,462779008
2021-11-19 03:10:00.000,5,"2",S9,465955968
2021-11-16 13:45:00.000,5,"2",S9,450022528
2021-11-21 14:30:00.000,5,"2",S9,464672512
2021-11-25 19:45:00.000,5,"2",S9,461378880
2021-11-13 19:10:00.000,5,"2",S9,456439744
2021-11-18 12:30:00.000,5,"2",S9,464563072
2021-11-25 13:20:00.000,5,"2",S9,455032256
2021-11-06 22:55:00.000,5,"2",S9,469185120
2021-11-28 01:45:00.000,5,"2",S9,460928736
2021-11-29 07:35:00.000,5,"2",S9,458685408
2021-11-15 11:30:00.000,5,"2",S9,455539136
2021-11-09 07:35:00.000,5,"2",S9,467590752
2021-11-16 07:45:00.000,5,"2",S9,450965568
2021-11-17 03:20:00.000,5,"2",S9,466237920
2021-11-30 21:00:00.000,5,"2",S9,453192896
2021-11-30 06:45:00.000,5,"2",S9,451495040
