hour_stump,M31_target_HR,avg hashrate,miners,avg_uptime,env_temp,avg power,power_rt,lancium_box_uuid
10/14/21 19:10,73973181.44,76859.11361,7911,950985.3251,58.58570345,3266.097206,546180.1772,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 19:10,72836346.34,64737.41076,6498,1620924.856,37.12349954,2720.922899,2723.076639,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 19:15,73929747.69,76876.29308,7910,951100.0771,58.67338812,3263.342351,1089223.284,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 19:15,72893443.29,64780.38468,6497,1621899.68,36.86070494,2721.973526,2723.137602,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 19:20,73968968.03,76924.92734,7909,951537.4738,58.5274371,3263.113289,274790.9951,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 19:20,72858656.9,64756.25299,6501,1621230.278,36.92839563,2722.097985,2722.213659,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 19:25,73973992.54,76928.77437,7909,951855.9348,58.26375016,3262.627892,546312.2033,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 19:25,72881071.66,64790.84499,6499,1622012.682,37.45937837,2723.421142,2728.724111,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 19:30,73911914.68,76759.671,7910,952007.0221,58.03135272,3252.593173,546241.3534,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 19:30,72858654.5,64775.4428,6501,1621794.145,36.82825719,2723.190894,2721.671281,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 19:35,73917181.8,76781.62625,7910,952350.1694,57.93445006,3260.212389,1089221.429,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 19:35,72893164.67,64799.01152,6494,1623805.497,37.17693255,2722.682322,2727.497074,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 19:40,73911590.15,76805.74937,7908,952685.9642,58.09920334,3261.769347,817937.5028,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 19:40,72847354.13,64759.63601,6498,1623091.355,37.51708218,2724.567405,2726.168206,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 19:45,73908899.23,76801.40536,7910,952933.1444,58.20233881,3259.089254,817731.0355,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 19:45,72880351.47,64785.5096,6498,1623460.139,36.80894121,2722.450754,2721.943367,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 19:50,73917181.8,76857.61846,7910,953236.0444,58.17054362,3260.396081,546242.415,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 19:50,72880071.19,64808.2534,6495,1624146.912,36.94457275,2723.049269,2726.138568,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 19:55,73872578.28,76815.40814,7910,952618.2281,58.29121365,3258.663843,1089220.45,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 19:55,72768146.67,64700.75257,6495,1621404.26,36.99137798,2718.716243,2721.751655,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 20:00,73778895.53,76693.58897,7898,953060.7453,58.45416561,3253.962142,547061.4953,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 20:00,72845475.8,64743.51645,6498,1623710.927,37.03647276,2721.184057,2724.216374,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 20:05,73717980.4,76326.35312,7910,954139.4491,58.49241466,3252.119469,1089219.802,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 20:05,72892441.45,64814.58886,6493,1625573.99,37.31618666,2726.30556,2726.232096,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 20:10,73664608.52,76304.6309,7910,954030.2676,58.49677623,3256.152845,546237.8953,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 20:10,72748036.63,64646.94361,6490,1622565.294,36.76278891,2715.450847,2718.583975,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 20:15,73672702.88,76501.70948,7910,954313.0666,58.51814159,3255.408217,817727.4958,8d7d1549-81a2-44fb-8ca5-a040442131b3
10/14/21 20:15,72746866.93,64618.51661,6496,1622276.113,36.86268473,2716.062192,2720.188424,c7f64657-b8fa-4bd2-a79e-89b4fecc4c44
10/14/21 20:20,73700519.52,76639.28118,7909,954741.9091,58.60886332,3256.261474,546307.1876,8d7d1549-81a2-44fb-8ca5-a040442131b3
