"hour_stump","datacenter_id","pm_26973_freq","pm_26973_mw","pm_26973_kw","pm_26974_freq","pm_26974_mw","pm_26974_kw","pm_74059_freq","pm_74059_mw","pm_74059_kw","usd","temp_f","rel_humidity"
2021-10-22 00:20:00.000,5,,26.289167,,,27.84125,,,54.130367,,50.22,,
2021-10-06 19:30:00.000,5,,26.719833,,,28.644684,,,55.364265,,289.85,,
2021-10-23 07:15:00.000,5,,26.42605,,,27.530184,,,53.95627,,45.82,,
2021-10-21 03:50:00.000,5,,26.091116,,,27.788816,,,53.879833,,45.85,,
2021-10-05 02:10:00.000,5,,26.407383,,,28.251217,,,54.658684,,54.71,,
2021-10-19 05:55:00.000,5,,,,,,,,,,16.3,,
2021-10-20 18:10:00.000,5,,,,,,,,,,95.77,,
2021-10-04 00:35:00.000,5,,26.27,,,27.8385,,,54.10832,,83.05334,,
2021-10-05 10:05:00.000,5,,26.346767,,,27.28125,,,53.627167,,35.94,,
2021-10-02 08:45:00.000,5,,26.766407,,,28.39917,,,55.16527,,43.54,,
2021-10-27 14:40:00.000,5,,26.004116,,,27.13345,,,53.139317,,24.56,,
2021-10-30 13:10:00.000,5,,26.01885,,,26.773983,,,52.791332,,37.6,,
2021-10-14 12:35:00.000,5,,26.223333,,,28.161867,,,54.385483,,72.08,,
2021-10-22 01:25:00.000,5,,26.355433,,,28.111233,,,54.467216,,47.58,,
2021-10-28 00:35:00.000,5,,26.613684,,,27.49125,,,54.1037,,74.42,,
2021-10-23 16:20:00.000,5,,26.6918,,,28.050833,,,54.743717,,51.9,,
2021-10-21 00:00:00.000,5,,26.39915,,,28.34445,,,54.743465,,88.44,,
2021-10-21 19:10:00.000,5,,26.29905,,,28.18885,,,54.488716,,58.66,,
2021-10-31 00:20:00.000,5,,26.212734,,,27.5461,,,53.7591,,37.6,,
2021-10-02 04:10:00.000,5,,26.510067,,,28.515167,,,55.025433,,48.8,,
2021-10-10 19:25:00.000,5,,26.236383,,,28.477,,,54.7134,,59.91,,
2021-10-14 22:55:00.000,5,,26.650457,,,28.124577,,,54.773663,,23.76,,
2021-10-03 22:25:00.000,5,,26.405834,,,28.121384,,,54.5273,,74.37,,
2021-10-04 23:05:00.000,5,,26.822367,,,28.402584,,,55.224983,,70.93,,
2021-10-14 10:50:00.000,5,,26.14917,,,28.106932,,,54.255848,,49.99,,
2021-10-13 09:10:00.000,5,,26.572666,,,27.945217,,,54.517982,,31.74,,
2021-10-07 17:35:00.000,5,,26.751234,,,28.719418,,,55.471,,58.73,,
2021-10-06 19:35:00.000,5,,26.707733,,,28.52065,,,55.2282,,90.24,,
2021-10-11 04:55:00.000,5,,26.675766,,,28.417084,,,55.092133,,40.76,,
2021-10-31 02:55:00.000,5,,26.016867,,,27.330084,,,53.347267,,21.52,,
2021-10-13 23:35:00.000,5,,26.352783,,,28.23665,,,54.5888,,38.02,,
2021-10-23 15:15:00.000,5,,26.679884,,,27.95175,,,54.6316,,50.01,,
2021-10-09 22:45:00.000,5,,26.521233,,,28.232216,,,54.7531,,48.21,,
2021-10-02 04:45:00.000,5,,26.481684,,,28.516817,,,54.99925,,28.366667,,
2021-10-30 14:20:00.000,5,,26.123016,,,26.96235,,,53.086216,,30.61,,
2021-10-11 15:50:00.000,5,,26.088266,,,28.16175,,,54.249332,,52.63,,
2021-10-19 20:10:00.000,5,,,,,,,,,,47.21,,
2021-10-13 13:25:00.000,5,,26.583817,,,28.1335,,,54.717583,,52.81,,
2021-10-11 16:05:00.000,5,,26.111933,,,28.214134,,,54.32665,,51.98,,
2021-10-04 18:00:00.000,5,,26.951233,,,28.426483,,,55.377567,,73.94,,
2021-10-06 23:05:00.000,5,,26.79105,,,28.54785,,,55.338867,,99.45,,
2021-10-09 22:40:00.000,5,,26.5369,,,28.175333,,,54.711884,,49.63,,
2021-10-31 17:40:00.000,5,,26.556967,,,27.958218,,,54.51502,,28.0,,
2021-10-27 12:35:00.000,5,,25.96275,,,27.089067,,,53.05145,,55.2,,
2021-10-20 15:15:00.000,5,,,,,,,,,,49.0,,
2021-10-10 18:30:00.000,5,,26.5398,,,28.600817,,,55.13995,,48.49,,
2021-10-22 09:45:00.000,5,,25.998184,,,27.78755,,,53.785767,,27.81,,
2021-10-25 20:40:00.000,5,,26.421083,,,28.159018,,,54.582016,,77.26,,
2021-10-10 10:25:00.000,5,,26.549232,,,28.237783,,,54.787434,,35.59,,
2021-10-03 22:50:00.000,5,,26.917166,,,28.348984,,,55.266567,,74.36,,
2021-10-01 21:10:00.000,5,,26.8889,,,28.309917,,,55.199867,,48.88,,
2021-10-01 15:35:00.000,5,,26.439184,,,28.233133,,,54.6722,,47.0,,
2021-10-10 07:50:00.000,5,,26.196466,,,27.7935,,,53.988167,,27.7,,
2021-10-15 10:55:00.000,5,,26.483116,,,27.759634,,,54.242817,,49.93,,
2021-10-22 14:10:00.000,5,,26.124483,,,27.7549,,,53.879383,,35.22,,
